Electronics;Accessories;Household;Displays;Computing;Gifts;Jewelery;Refrigerator;Dishwasher;Television;Computer_Monitors;Computer;Ipod;Diamond_Rings;Gift_Vouchers;Wrapping_Papers;Emerald;Sapphire
1;.43;.90;.87;.97;.89;.10;.95;.94;.90;.94;.89;.78;.23;.10;.09;.40;.56
.43;1;.57;.68;.78;.87;.92;.70;.40;.50;.68;.56;.72;.76;.40;.68;.60;.78
.90;.57;1;.73;.76;.88;.20;.80;.79;.86;.90;.60;.67;.34;.53;.70;.54;.45
.87;.68;.73;1;.81;.34;.05;.63;.41;.76;.87;.90;.89;.60;.31;.10;.38;.24
.97;.78;.76;.81;1;.54;.01;.67;.58;.63;.97;.98;.89;.34;.57;.10;.24;.21
.89;.87;.88;.34;.54;1;.84;.34;.46;.51;.58;.43;.76;.89;.97;.68;.74;.65
.10;.92;.20;.05;.01;.84;1;.21;.11;.14;.23;.11;.23;.98;.56;.45;.97;.89
.95;.70;.80;.63;.67;.34;.21;1;.63;.32;.37;.39;.35;.05;.09;.01;.01;.01
.94;.40;.79;.41;.58;.46;.11;.63;1;.42;.17;.16;.12;.24;.20;.04;.05;.10
.90;.50;.86;.76;.63;.51;.14;.32;.42;1;.78;.76;.68;.21;.35;.01;.12;.21
.94;.68;.90;.87;.97;.58;.23;.37;.17;.78;1;.92;.85;.22;.31;.01;.08;.10
.89;.56;.60;.90;.98;.43;.11;.39;.16;.76;.92;1;.89;.24;.35;.03;.08;.12
.78;.72;.67;.89;.89;.76;.23;.35;.12;.68;.85;.89;1;.13;.34;.12;.11;.10
.23;.76;.34;.60;.34;.89;.98;.05;.24;.21;.22;.24;.13;1;.68;.23;.60;.72
.10;.40;.53;.31;.57;.97;.56;.09;.20;.35;.31;.35;.34;.68;1;.58;.45;.39
.09;.68;.70;.10;.10;.68;.45;.01;.05;.01;.01;.03;.12;.23;.58;1;.02;.01
.40;.60;.54;.38;.24;.74;.97;.01;.05;.12;.08;.08;.11;.60;.45;.02;1;.66
.56;.78;.45;.24;.21;.65;.89;.01;.10;.21;.10;.12;.10;.72;.39;.01;.66;1
